name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteria	2	D	7458106	11268	7469374	0.99609
Eukaryota	2759	D	28717	632	29349	0.00391
