C	NB501110:123:H7C3WBGX7:1:11101:9813:1065	547	151|151	A:6 2:5 1224:1 2:3 1236:10 91347:6 543:1 1236:27 91347:10 1236:1 91347:39 1236:1 91347:4 1236:3 |:| 547:10 543:12 1236:5 91347:4 1236:1 91347:14 A:71 
C	NB501110:123:H7C3WBGX7:1:11101:9032:1067	329	150|150	A:6 119060:5 48736:5 329:13 0:4 329:7 0:6 119060:15 48736:13 0:5 329:1 0:36 |:| 1566294:7 48736:36 119060:44 A:29 
C	NB501110:123:H7C3WBGX7:1:11101:9958:1067	69218	149|151	A:5 91347:17 69218:5 543:1 69218:21 543:4 69218:9 354276:7 69218:3 354276:5 69218:25 547:5 69218:2 91347:6 |:| 69218:19 543:1 69218:15 543:2 69218:5 543:1 69218:5 1236:1 543:2 91347:5 69218:31 A:30 
C	NB501110:123:H7C3WBGX7:1:11101:22148:1069	1076549	150|150	A:6 1560356:1 91347:73 0:9 1560356:5 0:18 1560356:4 |:| 53335:10 91347:47 1560356:7 91347:5 1076549:2 0:33 53335:3 0:2 53335:7
C	NB501110:123:H7C3WBGX7:1:11101:17061:1072	487316	150|151	A:6 469:57 487316:11 0:8 487316:2 0:8 469:3 0:8 469:5 487316:8 |:| 469:16 1224:13 469:88
C	NB501110:123:H7C3WBGX7:1:11101:7661:1075	69218	150|150	A:6 91347:3 547:5 91347:3 69218:14 547:1 69218:15 543:1 1224:5 2:3 69218:1 543:9 69218:4 354276:2 543:7 2:4 543:15 91347:1 543:11 1224:1 2:5 |:| 543:5 1236:1 1224:5 91347:1 543:30 0:26 91347:2 131567:7 543:3 2:6 69218:4 543:5 69218:6 547:3 69218:9 2:3
C	NB501110:123:H7C3WBGX7:1:11101:3445:1076	1076549	151|151	A:6 91347:68 0:16 91347:2 0:12 91347:13 |:| 0:5 91347:33 0:31 1076549:3 0:26 91347:13 0:6
C	NB501110:123:H7C3WBGX7:1:11101:9350:1077	487316	151|150	A:6 0:3 469:64 487316:2 469:7 487316:22 469:13 |:| 487316:22 469:10 0:5 487316:4 0:6 487316:5 0:3 487316:15 469:3 487316:9 469:34
C	NB501110:123:H7C3WBGX7:1:11101:5326:1077	48736	151|151	A:6 2:111 |:| 48736:70 0:22 2:25
C	NB501110:123:H7C3WBGX7:1:11101:21410:1079	1560356	151|150	53335:11 91347:5 543:1 0:1 543:4 91347:3 2:6 543:5 0:29 1560356:4 91347:26 0:8 581:4 1224:5 0:5 |:| 91347:59 0:26 1560356:6 0:24 53335:1
