C	NB501110:123:H7C3WBGX7:4:23612:6870:20251	53335
C	NB501110:123:H7C3WBGX7:4:23612:6261:20259	59814
C	NB501110:123:H7C3WBGX7:4:23612:20547:20279	91347
C	NB501110:123:H7C3WBGX7:4:23612:13993:20311	470934
C	NB501110:123:H7C3WBGX7:4:23612:6705:20317	547
C	NB501110:123:H7C3WBGX7:4:23612:20381:20331	329
C	NB501110:123:H7C3WBGX7:4:23612:20498:20337	547
C	NB501110:123:H7C3WBGX7:4:23612:10800:20351	329
C	NB501110:123:H7C3WBGX7:4:23612:24681:20365	1076550
C	NB501110:123:H7C3WBGX7:4:23612:20267:20379	53335
