ID,category
5QBDM2ESPNATXXX0494,native
5QBDM2ESPPOOBXX0490,crop
BR5r-M2-ESP-POO-B-XX-1621,crop
BR5rM2ESPNATXXX1625,native
MvvQ-M2-ESP-POO-A-XX-1616,crop
MvvQM2ESPNATXXX1620,native
TZEpM2ESPNATXXX0504,native
TZEpM2ESPPOOAXX0500,crop
