"ID","Reads_B","Reads_A","Reads_diff","Q30_B","Q30_A","LowQual","N_reads","too_short","Duplication","LengthR1","LengthR2","Classified"
"MP2098",164543652,135478902,17.66,0.924732,0.967931,108,4896,29059746,0.0343382,122,124,29.34
"MP2099",165114436,135930004,17.68,0.928527,0.971794,80,4792,29179560,0.0357628,120,120,26.44
"MP2100",129431188,105071294,18.82,0.923717,0.971353,68,3792,24356034,0.0340589,121,121,30.66
"MP2107",105157346,86475530,17.77,0.924885,0.971079,60,3258,18678498,0.0290454,123,123,30.55
"MP2108",67956958,55461870,18.39,0.930388,0.974326,36,1532,12493520,0.0281335,116,116,29
"MP2109",15320690,12014288,21.58,0.91793,0.968449,16,330,3306056,0.0241171,120,119,28.23
"MP2110",66585576,55188274,17.12,0.927341,0.972142,36,2616,11394650,0.0286403,125,125,30.08
"MP2117",128199178,103839676,19,0.922664,0.97037,58,4090,24355354,0.0347886,122,121,29.33
"MP2118",132896698,108557516,18.31,0.924004,0.970481,88,4540,24334554,0.0293623,123,123,32.29
"MP2119",102197426,82162458,19.6,0.92202,0.96773,50,2928,20031990,0.0271718,118,119,28.72
"MP2120",101246894,82395062,18.62,0.923431,0.970575,32,3618,18848182,0.0280702,122,122,31.86
"MP2127",71434996,58408574,18.24,0.921826,0.968358,40,2754,13023628,0.0264296,124,125,29.38
"MP2128",85607342,67755700,20.85,0.912769,0.9666,52,2942,17848648,0.0271999,126,123,34.93
"MP2129",86189836,68835250,20.14,0.918717,0.96453,68,3308,17351210,0.0248177,119,123,29.35
"MP2130",62503256,50117540,19.82,0.917116,0.968234,44,2522,12383150,0.0234733,125,124,29.93
"MP2137",20192042,16443480,18.56,0.921107,0.969976,8,710,3747844,0.0265865,125,124,31.75
"MP2138",73209554,58533050,20.05,0.916291,0.968251,46,2948,14673510,0.0239131,125,124,33.59
"MP2139",73594988,60228230,18.16,0.923,0.969429,38,2980,13363740,0.0248186,124,125,25.2
"MP2140",64656424,52468336,18.85,0.920312,0.966018,62,2346,12185680,0.0244011,121,124,24.77
